INTERSECTION_ID,COUNTY,INTERSECTION_GEO,RELATION_TO_CURVE,DIST_TO_CURVE,DIST_TO_INT,INTERSECTION_TYPE,INTERSECTION_SHAPE,INTERSECTION_LEG,INTERSECTION_ANGLE,MAJ_AADT_2015RCI,MIN_AADT_2015RCI,MAX_FUNCLASS,MIN_FUNCLASS,MAX_SPEEDCAT,MIN_SPEEDCAT,MAX_LANECAT,MIN_LANECAT,IF_INTERSECT_ONSYSRD,CRASH_HE_SE,CRASH_HE_SE_TYPE_ANGLE
3364,GADSDEN,1,on curve,0,368.397,3wayY,Y,3,79.3,3100,1100,4,4,4,4,1,1,N,0,0
3395,GULF,1,have dist,271.878206,96.591008,4wayCross,Cross,4,90,0,0,5,4,6,5,1,1,N,0,0
3415,LEVY,1,have dist,307.264851,172.105075,4wayX,X,4,52.4,2800,200,5,4,5,3,1,1,N,1,1
3420,LEVY,1,have dist,1541.788042,600.820205,4wayCross,Cross,4,90,750,550,4,4,5,4,1,1,N,1,0
8743,GULF,1,have dist,192.847157,84.958876,4wayCross,Cross,4,90,0,0,5,5,5,5,1,1,N,0,0
9287,BRADFORD,1,have dist,241.430836,409.224745,3wayY,Y,3,66.3,0,0,5,5,5,5,1,1,N,0,0
9326,UNION,1,have dist,251.236871,395.843397,3wayY,Y,3,70.3,450,450,5,4,5,4,1,1,N,0,0
9375,UNION,1,have dist,376.334286,346.522047,3wayT,T,3,90,600,600,5,4,6,6,1,1,N,0,0
9377,BRADFORD,1,have dist,155.846911,178.961816,3wayY,Y,3,82.3,2500,2500,5,4,5,3,1,1,N,0,0
9389,BRADFORD,1,have dist,79.566124,89.2858,3wayY,Y,3,80.7,1600,1600,5,4,6,5,1,1,N,0,0
9394,GILCHRIST,1,on curve,0,414.381182,3wayT,T,3,90,900,900,5,4,5,3,1,1,N,1,0
9402,BRADFORD,1,on curve,0,454.596356,3wayY,Y,3,57,400,400,5,4,5,4,1,1,N,0,0
9409,UNION,1,have dist,20.602056,364.322356,3wayT,T,3,90,250,250,5,4,5,4,1,1,N,0,0
9410,BRADFORD,1,have dist,303.668476,320.037954,3wayT,T,3,90,400,400,5,4,5,4,1,1,N,0,0
9427,BRADFORD,1,on curve,0,38.966586,3wayY,Y,3,49.9,0,0,5,5,6,4,1,1,N,1,0
9533,COLUMBIA,1,on curve,0,151.308079,4wayCross,Cross,4,90,6600,600,4,3,4,3,1,1,Y,6,1
9536,HENDRY,1,on curve,0,38.162778,3wayY,Y,3,82.3,1750,1750,5,4,5,4,1,1,N,4,2
9565,LEVY,1,have dist,1258.005819,398.27399,4wayCross,Cross,4,90,1800,1800,5,4,5,3,1,1,N,0,0
9567,HOLMES,1,have dist,338.499917,1683.845942,4wayX,X,4,79.2,1400,1400,5,3,5,3,1,1,Y,0,0
9568,COLUMBIA,1,have dist,227.439025,389.663472,3wayT,T,3,90,2400,2400,5,4,5,3,1,1,N,0,0
9571,FRANKLIN,1,on curve,0,53.36602,3wayT,T,3,90,0,0,5,5,6,5,1,1,N,0,0
9573,JACKSON,1,have dist,473.743916,595.670398,3wayT,T,3,90,350,350,5,5,5,5,1,1,N,0,0
9635,COLUMBIA,1,on curve,0,75.08373,3wayY,Y,3,90.6,2800,2800,5,5,6,5,1,1,N,0,0
9646,COLUMBIA,1,have dist,32.262037,88.884059,3wayT,T,3,90,1100,1100,5,5,6,5,1,1,N,0,0
9657,WAKULLA,1,have dist,89.636196,108.340409,3wayT,T,3,90,2700,2700,5,4,6,3,1,1,N,0,0
9675,BAKER,1,on curve,0,213.951528,4wayX,X,4,82.9,400,400,5,4,5,4,1,1,N,0,0
9677,WAKULLA,1,have dist,82.19877,132.127853,3wayY,Y,3,85,700,700,5,5,5,5,1,1,N,0,0
9687,CALHOUN,1,on curve,0,354.808281,3wayT,T,3,90,1300,1300,5,4,5,3,1,1,N,0,0
9725,DIXIE,1,have dist,57.860214,69.907038,3wayY,Y,3,79.5,900,900,5,4,5,5,1,1,N,2,0
9784,BRADFORD,1,on curve,0,124.523103,3wayY,Y,3,26.4,400,400,5,4,5,4,1,1,N,1,0
9785,BRADFORD,1,have dist,166.260076,251.997338,3wayT,T,3,90,0,0,5,5,6,5,1,1,N,0,0
9792,WASHINGTON,1,have dist,94.427304,118.902299,3wayY,Y,3,85.2,700,700,5,5,5,5,1,1,N,0,0
9805,HOLMES,1,on curve,0,335.499659,3wayY,Y,3,56.7,1800,1800,5,4,5,3,1,1,N,0,0
9809,WASHINGTON,1,on curve,0,188.26711,3wayY,Y,3,77,700,700,5,5,5,5,1,1,N,0,0
9854,TAYLOR,1,have dist,931.799622,388.086648,3wayT,T,3,90,1800,1800,5,5,5,5,1,1,N,0,0
9871,JACKSON,1,have dist,204.926747,13.348042,3wayY,Y,3,51.3,2000,2000,5,4,6,3,1,1,N,0,0
9896,MADISON,1,on curve,0,42.391266,3wayY,Y,3,51.4,700,700,5,4,5,4,1,1,N,1,1
9904,SUWANNEE,1,have dist,298.870699,341.723989,4wayCross,Cross,4,90,4700,200,5,5,5,5,1,1,N,0,0
9905,SUWANNEE,1,on curve,0,786.501507,4wayX,X,4,76.6,4700,4700,5,5,5,5,1,1,N,1,0
9997,LEVY,1,have dist,16.203769,499.855129,4wayX,X,4,84.9,2100,450,4,2,3,3,1,1,Y,1,0
10415,BAKER,1,have dist,38.199601,1066.651416,3wayY,Y,3,44.8,1400,1400,5,4,5,3,1,1,N,0,0
10468,SUWANNEE,1,on curve,0,423.712838,3wayT,T,3,90,1000,1000,5,4,5,5,1,1,N,0,0
10475,SUWANNEE,1,on curve,0,284.009983,3wayY,Y,3,73.6,700,700,5,4,5,3,1,1,N,0,0
10476,GADSDEN,1,on curve,0,392.103029,3wayY,Y,3,90.2,950,950,5,5,5,5,1,1,N,0,0
10477,GADSDEN,1,have dist,14.209206,484.46921,4wayCross,Cross,4,90,1000,1000,5,4,5,3,1,1,N,0,0
10488,GADSDEN,1,on curve,0,43.882221,3wayY,Y,3,90.8,1000,1000,5,4,6,5,1,1,N,0,0
10489,GADSDEN,1,on curve,0,43.882221,3wayY,Y,3,79.1,1000,1000,5,4,6,5,1,1,N,0,0
10490,GADSDEN,1,have dist,165.775252,194.367626,3wayY,Y,3,81.8,2300,2300,5,4,7,4,1,1,N,0,0
10491,GADSDEN,1,on curve,0,102.33268,3wayY,Y,3,75,0,0,5,5,5,5,1,1,N,0,0
10511,GADSDEN,1,have dist,129.96457,107.34299,3wayT,T,3,90,1100,1100,5,4,6,5,1,1,N,0,0
10567,GADSDEN,1,on curve,0,253.492314,3wayY,Y,3,50.2,0,0,5,5,6,5,1,1,N,0,0
10568,GADSDEN,1,on curve,0,67.878552,3wayY,Y,3,84.1,0,0,5,5,6,5,1,1,N,0,0
10643,JACKSON,1,on curve,0,68.883906,3wayY,Y,3,91.2,0,0,5,5,5,5,1,1,N,0,0
11271,SUWANNEE,1,on curve,0,265.70301,3wayY,Y,3,76.4,2500,2500,5,4,5,3,1,1,N,0,0
11404,LEVY,1,on curve,0,21.883603,3wayY,Y,3,71.3,3300,3300,5,4,5,3,2,1,N,0,0
11805,DIXIE,1,on curve,0,18.332255,3wayY,Y,3,80.4,700,700,5,5,6,5,1,1,N,1,0
13074,UNION,1,have dist,711.079541,121.036314,3wayT,T,3,90,450,450,5,4,5,3,1,1,N,0,0
13079,SUWANNEE,1,have dist,460.720658,800.786123,3wayT,T,3,90,2500,2500,5,4,5,3,1,1,N,0,0
13104,JEFFERSON,1,have dist,270.643204,337.784835,3wayY,Y,3,78.8,350,350,5,4,6,5,1,1,N,0,0
13105,LIBERTY,1,have dist,1636.578548,98.698234,3wayY,Y,3,73.6,300,300,5,4,5,3,1,1,N,0,0
13371,CALHOUN,1,have dist,15.933136,628.746455,3wayY,Y,3,45.7,0,0,5,5,5,5,1,1,N,0,0
13487,HOLMES,1,on curve,0,24.427822,3wayY,Y,3,77.3,500,500,5,4,5,4,1,1,N,0,0
13492,WASHINGTON,1,on curve,0,143.347616,3wayY,Y,3,74.7,1800,1800,5,4,6,4,1,1,N,0,0
13493,CALHOUN,1,have dist,658.703297,520.523062,3wayY,Y,3,76.9,1400,1400,5,4,5,3,1,1,N,0,0
13499,LAFAYETTE,1,have dist,581.141162,347.590377,4wayCross,Cross,4,85.5,350,350,5,4,5,3,1,1,N,0,0
13503,HOLMES,1,have dist,186.470525,433.190162,3wayT,T,3,90,650,650,5,4,5,4,1,1,N,0,0
13512,COLUMBIA,1,have dist,197.411582,104.661764,3wayT,T,3,90,55000,55000,5,4,5,5,1,1,N,2,1
13519,COLUMBIA,1,on curve,0,387.229755,4wayX,X,4,73.5,2300,2300,5,4,5,4,1,1,N,3,1
13526,BAKER,1,on curve,0,241.36914,4wayK,K,4,22.5,1600,1600,5,4,5,5,1,1,N,0,0
13535,LIBERTY,1,on curve,0,75.32731,3wayY,Y,3,56.2,4000,4000,5,4,6,4,1,1,N,1,0
13561,GULF,1,have dist,305.6512,414.159438,3wayY,Y,3,64.4,2100,2100,5,3,5,3,1,1,N,0,0
13640,DIXIE,1,have dist,723.523718,167.713287,3wayY,Y,3,60.5,3200,3200,5,4,5,3,1,1,N,0,0
13653,MADISON,1,have dist,521.572837,887.274226,3wayY,Y,3,80.2,700,700,5,4,5,4,1,1,N,0,0
13656,LIBERTY,1,have dist,1275.220157,437.46802,3wayT,T,3,90,4100,300,4,3,3,3,1,1,Y,0,0
13685,DIXIE,1,have dist,212.430165,206.264923,3wayY,Y,3,74.4,700,700,5,5,5,5,1,1,N,0,0
13687,DIXIE,1,have dist,47.989738,72.739368,3wayY,Y,3,85.6,900,600,5,4,6,5,1,1,N,1,0
13688,LIBERTY,1,have dist,574.509756,10.933354,3wayY,Y,3,60.9,250,250,5,4,5,4,1,1,N,0,0
13697,DIXIE,1,have dist,123.069755,236.919143,3wayT,T,3,90,2100,2100,5,4,5,3,1,1,N,0,0
